timestamp,step,loss,perplexity,learning_rate,tokens_per_sec,tokens_total,tokens_billions,elapsed_hours,val_loss
2026-02-20T13:39:30.023612,3100,4.640801,103.63,2.000000e-04,25712,76185600,0.0762,0.8231,
2026-02-20T13:40:14.389336,3150,4.615171,101.01,2.000000e-04,25741,77414400,0.0774,0.8354,
2026-02-20T13:40:58.872354,3200,4.600721,99.56,2.000000e-04,25769,78643200,0.0786,0.8477,
2026-02-20T13:41:43.309958,3250,4.584544,97.96,2.000000e-04,25796,79872000,0.0799,0.8601,
2026-02-20T13:42:28.398069,3300,4.597031,99.19,2.000000e-04,25817,81100800,0.0811,0.8726,
2026-02-20T13:43:12.944558,3350,4.587879,98.29,2.000000e-04,25842,82329600,0.0823,0.8850,
2026-02-20T13:43:57.519309,3400,4.541433,93.83,2.000000e-04,25865,83558400,0.0836,0.8974,
2026-02-20T13:44:42.172906,3450,4.518789,91.72,2.000000e-04,25888,84787200,0.0848,0.9098,
2026-02-20T13:45:27.111325,3500,4.537284,93.44,2.000000e-04,25908,86016000,0.0860,0.9223,
2026-02-20T13:45:28.311107,3500,4.537284,93.44,2.000000e-04,25898,86016000,0.0860,0.9226,4.543151
2026-02-20T13:46:16.319833,3550,4.563158,95.89,2.000000e-04,25894,87244800,0.0872,0.9359,
2026-02-20T13:47:00.815159,3600,4.530177,92.77,2.000000e-04,25916,88473600,0.0885,0.9483,
2026-02-20T13:47:45.535110,3650,4.498713,89.90,2.000000e-04,25937,89702400,0.0897,0.9607,
2026-02-20T13:48:30.630792,3700,4.515136,91.39,2.000000e-04,25953,90931200,0.0909,0.9732,
2026-02-20T13:49:15.261150,3750,4.544144,94.08,2.000000e-04,25973,92160000,0.0922,0.9856,
2026-02-20T13:49:59.900740,3800,4.527988,92.57,2.000000e-04,25993,93388800,0.0934,0.9980,
2026-02-20T13:50:44.584058,3850,4.483439,88.54,2.000000e-04,26011,94617600,0.0946,1.0104,
2026-02-20T13:51:29.205975,3900,4.458540,86.36,2.000000e-04,26030,95846400,0.0958,1.0228,
2026-02-20T13:52:13.724401,3950,4.459750,86.47,2.000000e-04,26048,97075200,0.0971,1.0352,
2026-02-20T13:52:58.460699,4000,4.465269,86.94,2.000000e-04,26065,98304000,0.0983,1.0476,
2026-02-20T13:52:59.611639,4000,4.465269,86.94,2.000000e-04,26057,98304000,0.0983,1.0479,4.262701
2026-02-20T13:54:23.190997,4050,4.450709,85.69,2.000000e-04,25811,99532800,0.0995,1.0712,
2026-02-20T13:55:07.518824,4100,4.448319,85.48,2.000000e-04,25833,100761600,0.1008,1.0835,
2026-02-20T13:55:52.508909,4150,4.428459,83.80,2.000000e-04,25850,101990400,0.1020,1.0960,
2026-02-20T13:56:37.071217,4200,4.388615,80.53,2.000000e-04,25869,103219200,0.1032,1.1084,
2026-02-20T13:57:21.606529,4250,4.381573,79.96,2.000000e-04,25888,104448000,0.1044,1.1207,
2026-02-20T13:58:06.144390,4300,4.403020,81.70,2.000000e-04,25907,105676800,0.1057,1.1331,
